iter	Passed	Remaining
0	0	52
1	0	48
2	1	45
3	1	41
4	2	41
5	2	40
6	2	39
7	3	38
8	3	38
9	4	37
10	4	37
11	4	36
12	5	35
13	5	35
14	6	34
15	6	34
16	6	33
17	7	32
18	7	32
19	7	31
20	8	31
21	8	30
22	9	30
23	9	29
24	9	29
25	10	28
26	10	28
27	10	27
28	11	27
29	11	27
30	11	26
31	12	26
32	12	25
33	13	25
34	13	24
35	13	24
36	14	24
37	14	23
38	14	23
39	15	23
40	15	22
41	16	22
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	20
48	19	19
49	19	19
50	20	19
51	20	18
52	20	18
53	21	18
54	21	17
55	21	17
56	22	16
57	22	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	25	14
64	25	13
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	30	10
75	30	9
76	30	9
77	31	8
78	31	8
79	32	8
80	32	7
81	32	7
82	33	6
83	33	6
84	34	6
85	34	5
86	35	5
87	35	4
88	35	4
89	36	4
90	36	3
91	37	3
92	37	2
93	37	2
94	38	2
95	38	1
96	39	1
97	39	0
98	39	0
99	40	0
