iter	Passed	Remaining
0	58	58183
1	58	29290
2	59	19676
3	59	14854
4	60	11984
5	60	10039
6	61	8656
7	61	7617
8	61	6821
9	62	6187
10	62	5659
11	63	5225
12	63	4851
13	64	4540
14	64	4264
15	65	4024
16	65	3806
17	66	3616
18	66	3451
19	67	3300
20	67	3163
21	68	3036
22	68	2920
23	69	2813
24	69	2713
25	70	2625
26	70	2541
27	71	2465
28	71	2398
29	72	2329
30	72	2266
31	73	2208
32	73	2150
33	73	2096
34	74	2047
35	74	1999
36	75	1955
37	75	1913
38	76	1877
39	76	1838
40	76	1800
41	77	1766
42	77	1733
43	78	1701
44	78	1670
45	79	1640
46	79	1613
47	79	1585
48	80	1560
49	80	1535
50	81	1511
51	81	1487
52	82	1465
53	82	1447
54	83	1426
55	83	1408
56	84	1392
57	84	1375
58	85	1357
59	85	1340
60	86	1326
61	86	1311
62	87	1296
63	87	1281
64	88	1266
65	88	1251
66	88	1236
67	89	1224
68	89	1210
69	90	1197
70	90	1185
71	91	1173
72	91	1160
73	91	1150
74	92	1139
75	92	1128
76	93	1118
77	93	1108
78	94	1097
79	94	1088
80	95	1079
81	95	1070
82	95	1058
83	96	1048
84	96	1039
85	97	1031
86	97	1023
87	98	1017
88	98	1009
89	99	1001
90	99	995
91	100	988
92	100	981
93	100	973
94	101	966
95	101	959
96	102	952
97	102	946
98	103	939
99	103	932
100	104	926
101	104	919
102	104	912
103	105	906
104	105	900
105	106	894
106	106	889
107	107	883
108	107	878
109	107	872
110	108	866
111	108	861
112	109	856
113	109	850
114	109	845
115	110	840
116	110	834
117	110	828
118	111	824
119	111	819
120	112	814
121	112	809
122	112	805
123	113	801
124	113	797
125	114	793
126	114	787
127	115	783
128	115	779
129	115	775
130	116	771
131	116	766
132	116	762
133	117	758
134	117	754
135	118	750
136	118	746
137	118	742
138	119	738
139	119	735
140	120	731
141	120	726
142	120	723
143	121	719
144	121	716
145	121	712
146	122	709
147	122	705
148	123	702
149	123	699
150	123	696
151	124	693
152	124	689
153	125	686
154	125	683
155	125	680
156	126	677
157	126	675
158	127	672
159	127	669
160	127	665
161	128	663
162	128	660
163	128	657
164	129	655
165	129	652
166	130	649
167	130	647
168	131	644
169	131	641
170	131	639
171	132	636
172	132	634
173	133	631
174	133	628
175	133	626
176	134	623
177	134	621
178	135	619
179	135	617
180	136	615
181	136	612
182	136	610
183	137	608
184	137	606
185	137	603
186	138	601
187	138	599
188	139	597
189	139	595
190	140	593
191	140	591
192	140	589
193	141	587
194	141	585
195	142	583
196	142	581
197	142	579
198	143	577
199	143	574
200	144	572
201	144	570
202	144	568
203	145	566
204	145	564
205	145	562
206	146	560
207	146	558
208	147	556
209	147	554
210	147	552
211	148	550
212	148	549
213	149	547
214	149	545
215	149	544
216	150	542
217	150	540
218	151	538
219	151	537
220	151	535
221	152	533
222	152	532
223	153	530
224	153	528
225	153	527
226	154	525
227	154	524
228	155	522
229	155	521
230	156	519
231	156	518
232	157	516
233	157	515
234	157	513
235	158	512
236	158	510
237	159	509
238	159	507
239	159	506
240	160	504
241	160	503
242	161	502
243	161	500
244	162	499
245	162	498
246	163	496
247	163	495
248	164	494
249	164	493
250	164	492
251	165	491
252	165	489
253	166	488
254	166	486
255	167	485
256	167	484
257	167	482
258	168	481
259	168	480
260	169	479
261	169	477
262	170	476
263	170	475
264	170	473
265	171	472
266	171	471
267	172	470
268	172	469
269	173	467
270	173	466
271	174	465
272	174	464
273	174	463
274	175	462
275	175	460
276	176	459
277	176	458
